Currency1,Currency2,Correlation,Cointegration,Criticals,Ratio
MANAUSDT,SANDUSDT,0.894697902648796,-4.185978255415487,-3.9267806789638935,0.8517555266579975
ARDRUSDT,WAXPUSDT,0.8826054120984496,-4.095086663334702,-3.9267806789638935,1.1508771929824562
IOTAUSDT,ENJUSDT,0.8614537457399174,-5.260295060394734,-3.9267806789638935,0.5589426561500745
TLMUSDT,SLPUSDT,0.8514226340993102,-5.619421546425941,-3.9267806789638935,6.904761904761904
ENJUSDT,WAXPUSDT,0.8512594492143428,-5.944038592194388,-3.9267806789638935,5.486549707602339
IOTXUSDT,ALICEUSDT,0.8468290165362578,-4.389818379154966,-3.9267806789638935,0.01525586353944563
IOTXUSDT,TLMUSDT,0.8443679740046826,-4.950659959317874,-3.9267806789638935,1.2336206896551725
STMXUSDT,WAXPUSDT,0.8437238886347718,-7.793127244918858,-3.9267806789638935,0.08264327485380117
IOTAUSDT,ZENUSDT,0.8385417290021754,-4.555231752412897,-3.9267806789638935,0.019152666179693207
ZENUSDT,ALICEUSDT,0.8376854550934979,-4.048841264075401,-3.9267806789638935,7.297441364605544
STMXUSDT,POWRUSDT,0.836442284584415,-4.158582325480181,-3.9267806789638935,0.034825036964021686
COMPUSDT,AAVEUSDT,0.8362636425861192,-4.419978702029669,-3.9267806789638935,0.6275522755227553
ENJUSDT,CHRUSDT,0.8349629310767561,-4.643220644232046,-3.9267806789638935,2.7708210277613703
IOTAUSDT,WAXPUSDT,0.8344735970869464,-5.3269935562879995,-3.9267806789638935,3.0666666666666664
ARDRUSDT,STMXUSDT,0.8340678068620018,-3.980573665582584,-3.9267806789638935,13.925842060571751
THETAUSDT,BAKEUSDT,0.8327643733231643,-5.455919264389898,-3.9267806789638935,4.666666666666667
